,createdAtTimestamp,id,token0.name,token0.symbol,token1.name,token1.symbol,token00.id,token00.name,token00.symbol,token00.decimals,token00.txCount,token00_creator_address,txCount,initial_Liquidity_Token,current_token,initial_Liquidity_Eth,current_Eth,last_transaction_timestamp,last_transaction_date,rugpull_method,rugpull_timestamp,rugpull_timestamp_date,before_rugpull_Eth,after_rugpull_Eth,rugpull_change,rugpull_proceeding_our,is_rugpull,feature_timestamp,firsttime,initial_supply,receiver_list
10,2021-01-31,0x4617135a2cc37543fa6f7e2a531aea45e58b6d7b,Maps.me,MAPS,Wrapped Ether,WETH,0xa0b42dc91eb5bea4ef40df32a195b706c3c5ce30,Maps.me,MAPS,18,11,0xd767e7e627475c9e793cc172fcbaa9d48fceaedb,11,1680000.0,8.8e-14,200.0,1.2e-17,1612416297,2021-02-04 5:24,burn,1612416297,2021-02-04 5:24,208.2960719,1.2e-17,-1.0,89.40972222,True,1612416297,2021-01-31T11:32:11Z,1000000000.0,['0xd767e7e627475c9e793cc172fcbaa9d48fceaedb']
11,2020-09-05,0x42bdf4b774dfa7e1e381fc64bfb85b3b3b895fb3,VODKAFARM,VODKA,Wrapped Ether,WETH,0x2ed9d391e3b94e081c445028ba112eb2d5bcb42c,VODKAFARM,VODKA,18,6,0x7d9145173214d14138c7814326d36d9b9d65347c,6,1123.0,201980.1827,1.11,0.00619,1612431916,2021-02-04 9:45,swap,1612431916,2021-02-04 9:45,1.440979157,0.006194517,-0.995701175,3645.2925,True,1612431916,2020-09-05T12:23:35Z,2000.0,['0x7d9145173214d14138c7814326d36d9b9d65347c']
12,2021-01-30,0xf0db95016b4165871957c211c8330e3a356d4b27,Bridge Mutual,BMI,Wrapped Ether,WETH,0xb38bf9c4f0d7b3aa700b6e9385264e9b851ada90,Bridge Mutual,BMI,18,27,0xf96565085943ce9344b26c71653f4c37292ffdff,27,3206400.0,9.13e-14,300.0,1.1e-17,1612436763,2021-02-04 11:06,burn,1612436763,2021-02-04 11:06,339.8528785,1.1e-17,-1.0,118.685,True,1612436763,2021-01-30T12:21:00Z,160000000.0,['0xf96565085943ce9344b26c71653f4c37292ffdff']
13,2020-10-23,0x23f5b419fb186467edea6ec96660b3b6bdc1793f,Wrapped Ether,WETH,ChrisBell,BELL,0xf071a4a5086a71af034ae895288da437e2722469,ChrisBell,BELL,2,32,0xddd3964d75d59b6b6d5c31eb313bba5ebf076364,32,50000.0,0.01,5.0,9.09e-10,1612454241,2021-02-04 15:57,burn,1612454241,2021-02-04 15:57,0.159005383,9.09e-10,-0.999999994,2511.819167,True,1612454241,2018-05-11T14:48:27Z,5000.0,['0xa834511b19d6b358a84a6beadbdfe58c92805766']
14,2021-02-04,0x3e02a9f53fc25c3317113758f425312b174f03e5,TAILS TOKEN,TAILS,Wrapped Ether,WETH,0x4b184c08bf76eb41624660cdff86a808eda5387e,TAILS TOKEN,TAILS,18,8,0xa072c3faf7234f8194162d3b1b53c5d828445cfb,8,70000000000.0,1.49e-10,2.75,1e-18,1612454302,2021-02-04 15:58,burn,1612454302,2021-02-04 15:58,2.937930531,1e-18,-1.0,5.104444444,True,1612454302,2021-02-04T10:27:36Z,99999999999.99998,['0xa072c3faf7234f8194162d3b1b53c5d828445cfb']
15,2021-02-04,0x566310900e6de8cd9ed6e9a53f2461f89c2ee05e,Butterfly Protocol Governance Token,BFLY,Wrapped Ether,WETH,0x943224098b352c8d99ee0db32c089e7e52f3266c,Butterfly Protocol Governance Token,BFLY,18,31,0x99211f5f285e9ca425dfdeee2d98a6948b5fb8c9,31,360000.0,4.6e-14,60.0,2.2e-17,1612454852,2021-02-04 16:07,burn,1612454852,2021-02-04 16:07,101.3193243,2.2e-17,-1.0,3.486388889,True,1612454852,2021-02-04T12:38:21Z,360000.0,['0x566310900e6de8cd9ed6e9a53f2461f89c2ee05e']
16,2021-02-04,0x3c685e597e109e52d563d0a5427be21b2138b29b,Strudel Finance,TRDL,Wrapped Ether,WETH,0x7deb49977f6b6282fb6d236fcb81ab02ae461ed4,Strudel Finance,TRDL,18,11,0x6f962189e1e700938993a63ea5c49aba0de4daaa,11,1305000.0,6.67e-14,260.0,1.5e-17,1612467371,2021-02-04 19:36,burn,1612467371,2021-02-04 19:36,276.2,1.5e-17,-1.0,2.676111111,True,1612467371,2021-02-04T16:53:18Z,1305000.0,['0x6f962189e1e700938993a63ea5c49aba0de4daaa']
17,2021-05-24,0xa7bd04ae76da335a6fc0a0722daf891a923a3422,EasySafe,ESAFE,Wrapped Ether,WETH,0xa2c46cd55efd9e1acb4831aab18072afa5bfbbdf,EasySafe,ESAFE,9,22,0xb4a2810e9d0f1d4d2c0454789be80aaeb9188480,22,3.88e+16,0.004553657,1.4,1e-18,1621897903,2021-05-24 23:11,burn,1621897903,2021-05-24 23:11,1.642711096,1e-18,-1.0,1.476944444,True,1621897903,2021-05-24T18:50:12Z,1e+17,['0xc57d131b7fed93ba67f8be710a1b99a9943b65fb']
18,2021-05-24,0x32af688f4f34316487ee2f126d3bfe7f4d4d7cb5,American Eskimo Inu,AMEINU,Wrapped Ether,WETH,0x8a6c8f46f3349028b1433815aecc91e9b8334ea0,American Eskimo Inu,AMEINU,18,9,0xdddf640980e09b25f5fea0cdd68e942905754435,9,409000000000.0,1.98e-10,9.0,1e-18,1621898136,2021-05-24 23:15,burn,1621898136,2021-05-24 23:15,9.712144811,1e-18,-1.0,1.933333333,True,1621898136,2021-05-24T21:12:58Z,1000000000000.0,['0xdddf640980e09b25f5fea0cdd68e942905754435']
19,2021-08-14,0x8d116ebf30d24d3d9f5651ddb70454c9173870f9, Baby Trump Jr. | t.me/BabyTrumpJr ,BTrumpJr?,Wrapped Ether,WETH,0x7390bfb057b09f9a452fb110182e3f8083287a0e, Baby Trump Jr. | t.me/BabyTrumpJr ,BTrumpJr?,18,37,0x92ac2c56befdd1c144c977bef060b400b3084ace,37,1000000000000.0,4.23e-10,2.0,1e-18,1628992002,2021-08-15 10:46,burn,1628992002,2021-08-15 10:46,3.378372152,1e-18,-1.0,24.23861111,True,1628992002,2021-08-14T01:16:54Z,1000000000000.0,['0x92ac2c56befdd1c144c977bef060b400b3084ace']
20,2021-08-14,0x86a2e54409b1bca1cff4268664e0fd793799d871,Zapper INU,Zapper,Wrapped Ether,WETH,0xb0e3dbe94b24a203dbc09a4855d2214111de9447,Zapper INU,Zapper,18,38,0xa24f2ccaa122e168c419d8e4e0c61be7626f5159,38,1000000000000.0,1.72e-10,18.0,1e-18,1629004570,2021-08-15 14:16,burn,1629004570,2021-08-15 14:16,24.69891756,1e-18,-1.0,10.62666667,True,1629004570,2021-08-13T04:50:23Z,1000000000000.0,['0xa24f2ccaa122e168c419d8e4e0c61be7626f5159']
21,2021-08-09,0xb764c00ba3164fda3a6c07b69af0f000638f3e89,Wrapped Ether,WETH,BABY DOGE BILLIONAIRE,BABYDB,0xd79c51eca833f04d8827359c2f00ded79dd38b04,BABY DOGE BILLIONAIRE,BABYDB,18,38,0x44d2ae43fb0f3f470ddfd4629367045f624bcf72,38,9080000000000.0,1.51e-10,50.0,1e-18,1629004828,2021-08-15 14:20,burn,1629004828,2021-08-15 14:20,141.8887297,1e-18,-1.0,141.1866667,True,1629004828,2021-08-09T07:58:55Z,1e+17,['0x44d2ae43fb0f3f470ddfd4629367045f624bcf72']
22,2021-08-14,0x627a44cf77833d63df14df419c0ef0367e3d3abe,Paraswap,Paraswap,Wrapped Ether,WETH,0x2ff519b0a39d4890eecd50c134e50b12af414351,Paraswap,Paraswap,18,19,0xd678f4ea134e04895a6f1af2e6b3479410079af2,19,700000000000.0,1.72e-10,15.0,1e-18,1629005800,2021-08-15 14:36,burn,1629005800,2021-08-15 14:36,18.88970378,1e-18,-1.0,7.109722222,True,1629005800,2021-08-13T04:50:07Z,1000000000000.0,['0xd678f4ea134e04895a6f1af2e6b3479410079af2']
23,2021-08-10,0xb1a1c9612e025819e2d6ecf2dd5f32b8d56c99a3,Wrapped Ether,WETH,Binamars,BMARS,0xef31821f66b9a6dbbe31e8ed0495bea3189421b1,Binamars,BMARS,18,23,0x905ba6d90fcb184ccb44c351c6fd4b6f0c6e380c,23,31640362.0,3.95e-13,80.0,3e-18,1629007197,2021-08-15 14:59,burn,1629007197,2021-08-15 14:59,127.6648254,3e-18,-1.0,118.505,True,1629007197,2021-08-10T07:16:19Z,74701234.0,['0x905ba6d90fcb184ccb44c351c6fd4b6f0c6e380c']
24,2021-08-07,0x431501f601b2732fbe2eaa14af94abdf5e1004d6,Bitconnect,BITCONNECT,Wrapped Ether,WETH,0xbbc320e682bb7774e40a95f4d14b060246bbd8e3,Bitconnect,BITCONNECT,9,141,0x39d5bdb8988a0f777acb270c0534e9db25846b1c,141,990000000000.0,2.02e-05,1.5,5.1e-17,1629007573,2021-08-15 15:06,burn,1629007573,2021-08-15 15:06,1.957985195,5.1e-17,-1.0,174.1869444,True,1629007573,2021-08-07T23:24:21Z,1000000000000.0,['0x39d5bdb8988a0f777acb270c0534e9db25846b1c']
25,2021-08-12,0x15fafba5e68a0f5181c97e94abc2ccfc77ea4b32,Moon,MOON,Wrapped Ether,WETH,0x8e064b401b019e86e837204cfb6dae67a1e578b0,Moon,MOON,18,11,0xf0898fdb39b4110f59959ce5fa10767579f4bd0a,11,1000000000.0,1.49e-10,0.04,1e-18,1629008663,2021-08-15 15:24,burn,1629008663,2021-08-15 15:24,0.042450851,1e-18,-1.0,75.68361111,True,1629008663,2021-08-12T02:01:58Z,1000000000000000.0,['0xf0898fdb39b4110f59959ce5fa10767579f4bd0a']
26,2021-08-10,0xe46d34726fb6a881951411e32578849af8474df2,Penguin Token,PENTOKEN,Wrapped Ether,WETH,0x993807542470ad6ba9d1845d3acd863386d4002a,Penguin Token,PENTOKEN,18,81,0xde16f7419f1fb58a6f231f40f94c7d0cfe53f703,81,1000000000.0,3.97e-12,33.7,1e-18,1629010071,2021-08-15 15:47,burn,1629010071,2021-08-15 15:47,46.25446134,1e-18,-1.0,115.7541667,True,1629010071,2021-08-10T11:00:26Z,1000000000.0,['0xde16f7419f1fb58a6f231f40f94c7d0cfe53f703']
27,2021-07-14,0x1058f2b0edd0205c3cb4ee48cef12dea1ea6a15d,Wrapped Ether,WETH,The Real Loki,RLOKI,0xe16dcb7180ce87018dcfca000d200326f17a9fc6,The Real Loki,RLOKI,9,698,0x64400462062689a4f9c8341ddd9d481dba90f0c7,698,430000000000.0,6.2e-06,10.0,1.68e-16,1629010476,2021-08-15 15:54,burn,1629010476,2021-08-15 15:54,10.86788085,1.68e-16,-1.0,754.1663889,True,1629010476,2021-07-13T07:38:27Z,1000000000000.0,['0x64400462062689a4f9c8341ddd9d481dba90f0c7']
28,2021-08-15,0x38dc8002c1510ffc0408dbedd42cdd2e1d1aa3a2,@HamtaroReloaded,HAMTRIX,Wrapped Ether,WETH,0x000ee2ed96e1d1277a67864dedd42140dcc6b835,@HamtaroReloaded,HAMTRIX,18,130,0x3580e95a0c06d9737c533eef3863f335c3d0c61d,130,99000000000.0,12500000000000.0,2.0,0.0162,1629016622,2021-08-15 17:37,swap,1629014142,2021-08-15 16:55,13.51483017,0.000336601,-0.999975094,4.021388889,True,1629014142,2021-08-15T03:44:01Z,99999999999.99998,['0x3580e95a0c06d9737c533eef3863f335c3d0c61d']
