createdAtBlockNumber,createdAtTimestamp,id,reserve0,reserve1,reserveETH,token00.id,token00.name,token00.symbol,token00.totalLiquidity,token00.decimals,token00.txCount,token00_creator_address,token11.decimals,token11.id,token11.name,token11.symbol,token11.totalLiquidity,token11.txCount,initial_Liquidity_Eth,initial_Liquidity_token,last_transaction_timestamp,last_transaction_date,mint_count,swap_count,burn_count,mint_mean_period,swap_mean_period,burn_mean_period,swapIn,swapOut,active_period,rugpull_method,rugpull_timestamp,rugpull_timestamp_date,before_rugpull_Eth,after_rugpull_Eth,rugpull_change,rugpull_proceeding_hour,is_rugpull,feature_timestamp,mint_ratio,swap_ratio,burn_ratio,swap_rate,LP_Creator_amount,LP_Creator_address,LP_avg,LP_stdev,initial_supply,receiver,current_token_total_supply,burn_amount,timestamp_creator_LP_amount,timestamp_creator_token_amount
13434499,2021-10-17,0xae5a7a8edb2e22ed0fac22aaf3ae44fa6c080c7b,1.38e-06,7.46e-16,1.49e-15,0x669f3f9f5e2e41c8bfc75fc915104e6d6d9e30ce,GreninjaToken,Greninja,1.38e-06,9,29,0xcafcb0440cb225d87cde4ba191280d04781abe0d,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545598.4642,60733850,1.5,9387755102.0,1634637271,2021-10-19 9:54,1,27,1,0,447,175873,23,4,175873,burn,1634637271,2021-10-19 9:54,2.796698839,7.46e-16,-1.0,48.853611111111114h,True,1634637271,0.035714286,0.964285714,0.0,4.6,3.752550153,0xcafcb0440cb225d87cde4ba191280d04781abe0d,100.0,0.0,10000000000.0,0xcafcb0440cb225d87cde4ba191280d04781abe0d,10000000000.0,0.0,3.75255015,800000000.0
13545987,2021-11-03,0x982075d01dee2b175a6c9baefc8ca545724ed7fa,0.005727166,1e-18,2e-18,0xa01a2b9df8e8d07644d37912b7c7fda47c4697e4,Nala Inu,NALA,0.005727166,9,50,0xcafad2a28eb8ba7ca4b9df7152a06e21b73cebf7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545604.3712,60733839,1.5,9.38e+17,1636049592,2021-11-04 18:13,1,48,1,0,3954,79204,41,7,79204,burn,1636049592,2021-11-04 18:13,6.96730786,1e-18,-1.0,22.00111111111111h,True,1636049592,0.020408163,0.979591837,0.0,5.125,37500.0,0xcafad2a28eb8ba7ca4b9df7152a06e21b73cebf7,100.0,0.0,1e+18,0xcafad2a28eb8ba7ca4b9df7152a06e21b73cebf7,,0,37500.0,100000000000000080
11861856,2021-02-15,0x6a5abec3dc07b1d0890186189058c7cb9dccb175,6401.4765,1e-18,1e-18,0x71ab50190f06f55e2a80f5ef15e92c5b52b01955,VAIOT,VAI,6401.4765,18,22,0xcaf8f3b89c45ba0178d6c9e362f68dcff4104f8d,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545617.5446,60733927,51.5,720000.0,1613408168,2021-02-15 16:56,1,20,1,0,1043,2198,18,2,9337,burn,1613401029,2021-02-15 14:57,54.5440843,9e-18,-1.0,0.6105555555555555h,True,1613401029,0.05,0.95,0.0,9.0,6089.334939,0xcaf8f3b89c45ba0178d6c9e362f68dcff4104f8d,100.0,0.0,400000000.0,0xcaf8f3b89c45ba0178d6c9e362f68dcff4104f8d,,0,6089.33493906,399280000
13024329,2021-08-14,0x5f34f6b2cce807e8ee1fe4a1343e8722b8c37817,135214794.3,9e-18,9e-18,0x68481521f7b9dabe32e3dc1bbc64cbef1d616544,Satoshis Vision,SATOSHI,135214794.3,18,64,0xcaf5b412d14f860b9f9205b85c6dfe7ba2aad02b,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.34,60733867,3.0,98000000000.0,1633102150,2021-10-01 15:29,1,62,1,0,72384,10307,41,21,4143976,burn,1628968481,2021-08-14 19:14,4.950658737,1e-18,-1.0,2.8630555555555555h,True,1628968481,0.016666667,0.983333333,0.0,1.857142857,542217.6685,0xcaf5b412d14f860b9f9205b85c6dfe7ba2aad02b,100.0,0.0,100000000000.0,0xcaf5b412d14f860b9f9205b85c6dfe7ba2aad02b,1000000000000000.0,0.0,542217.6685,681919863.0
13039344,2021-08-16,0xd9bbadde07a3c4abe27e403e682bb10fa80762c5,25.95284844,72344.57196,51.90569688,0xdb7a1a851a2977a6f2ba064b2b76a0f79e5ca587,Low Float Gem,LFG,72344.57196,9,2148,0xcaf59037ef945d4d661816768ad78afa4a15d81c,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.34,60733867,15.0,119000.0,1636886133,2021-11-14 10:35,1,2148,1,0,2112772,236230,1272,876,7659392,,0,1970-01-01 0:00,0.0,0.0,,0.0h,False,1636886133,0.000465333,0.999069335,0.000465333,1.449258837,0.04224926,0xcaf59037ef945d4d661816768ad78afa4a15d81c,100.0,0.0,500000.0,0xcaf59037ef945d4d661816768ad78afa4a15d81c,500000.0,0.0,0.0,0.0
11098429,2020-10-21,0x497085a75e23f60518d998468d82e2b1e6aa2513,8.3e-15,1.21e-16,2.42e-16,0x02d5e844e5b885716db7068aa27f17378d63766b,yRise.Finance,yRise,8.3e-15,18,21,0xcae948cda55fa8be34402bc8679d29e9fc4f9c0d,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,95.0,8500.0,1603282243,2020-10-21 12:10,1,19,1,0,1180,13377,16,3,13377,burn,1603282243,2020-10-21 12:10,108.3739271,1.21e-16,-1.0,3.7158333333333333h,True,1603282243,0.05,0.95,0.0,4.0,898.6100377999999,0xcae948cda55fa8be34402bc8679d29e9fc4f9c0d,100.0,0.0,9669.0,0xcae948cda55fa8be34402bc8679d29e9fc4f9c0d,9669.0,0.0,898.6100377999999,1102.766409
11099461,2020-10-21,0x1edd6b86a2e3fc4d3430d206028cbbd406090788,4.0199999999999997e-16,2.5e-15,8.039999999999998e-16,0xdf238f17295c4e225074b301b526c375e5a18e76,KrakenCore,KRAKEN,2.5e-15,18,15,0xcae948cda55fa8be34402bc8679d29e9fc4f9c0d,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,70.0,700.0,1603358521,2020-10-22 9:22,1,13,1,0,1888,76030,11,2,76030,burn,1603358521,2020-10-22 9:22,88.7711851,4.0199999999999997e-16,-1.0,21.119444444444444h,True,1603358521,0.071428571,0.928571429,0.0,3.666666667,221.3594362,0xcae948cda55fa8be34402bc8679d29e9fc4f9c0d,100.0,0.0,900.0,0xcae948cda55fa8be34402bc8679d29e9fc4f9c0d,900.0,0.0,221.3594362,274.3443758
12597498,2021-06-09,0xc2936cdf1c50cae3efa2c3c0d19f209087deb754,2.95e-09,1e-18,2e-18,0xbb8efd59db303dcbd5e26cd56042cf05f3b383ab,The Bee Movie 🐝,BZZZ🐝,2.95e-09,18,16,0xcae8c7bf3a1045020bb30bce62e3305b480795bd,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.5989999999,60733891,6.0,50000000000000.0,1623204571,2021-06-09 2:09,1,12,3,0,558,872,7,5,931,burn,1623204571,2021-06-09 2:09,3.703001839,1e-18,-1.0,0.2586111111111111h,True,1623204571,0.066666667,0.8,0.133333333,1.166666667,10911920.09,0xcae8c7bf3a1045020bb30bce62e3305b480795bd,100.0,0.0,100000000000000.0,0xcae8c7bf3a1045020bb30bce62e3305b480795bd,,50000000000000,10911920.08768392,17521544385638.009765625
12732166,2021-06-30,0x35310640e8378358a82e1f5e2d2b70f202e5f6ca,1e+17,0.007052554,0.014105109,0x59a256bb7368036cd3e8785f915e4a65be966e9b,Kirby Token | t.me/kirbytoken ,KIRBY,1e+17,9,46,0xcae73d83013bd9750cd2025c14def8b43888b45d,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.5421,60733885,7.0,100000000000000.0,1625014597,2021-06-30 0:56,1,45,0,0,923,0,35,10,1818,swap,1625014597,2021-06-30 0:56,10.4779048,0.007052554,-0.999326912,0.505h,True,1625014597,0.022222222000000003,0.977777778,0.0,3.5,836.6600265,0xcae73d83013bd9750cd2025c14def8b43888b45d,100.0,0.0,100000000000000.0,0xcae73d83013bd9750cd2025c14def8b43888b45d,,0,0.0,0
12826508,2021-07-14,0x66a1a633a66b7dd2220bf497a2ab326e7a2874e4,6.76e-12,1e-18,1e-18,0x27d5ff7871a9dbeed2b82d471f8dc524b1628f28,Fantom Exchange,FTM,6.76e-12,18,7,0xcae489e40c78589e818dec99ba57b9561fe97e33,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.34,60733867,1.7,99000000.0,1626285920,2021-07-15 3:05,1,5,1,0,342,1668,4,1,1668,burn,1626285920,2021-07-15 3:05,1.920842558,1e-18,-1.0,0.4633333333333333h,True,1626285920,0.166666667,0.833333333,0.0,2.0,12973.04899,0xcae489e40c78589e818dec99ba57b9561fe97e33,100.0,0.0,100000000.0,0xcae489e40c78589e818dec99ba57b9561fe97e33,,0,12973.04898626,1.0000000000000000209225608301284726753266340892878361046314239501953125E-8
11413996,2020-12-08,0x9706d3b593531852bc3e6b3bcc22d00b520372c1,2e-18,1.29e-12,2e-18,0xdf87904ef946fdf8bcdb08f803ce5c6bc78a326b,Bondly.Finance,BONDLY,1.29e-12,18,46,0xcae45c61755c6c39fb46d96a7157b7c295ce943a,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,200.0000001,799920000.0,1607624133,2020-12-10 18:15,2,41,3,60420,627,58712,41,0,168338,burn,1607460098,2020-12-08 20:41,295.0171894,1e-18,-1.0,1.1952777777777779h,True,1607460098,0.023255814,0.953488372,0.023255814,41.0,379980.9996,0xcae45c61755c6c39fb46d96a7157b7c295ce943a,100.0,0.0,999999950.0,0xcae45c61755c6c39fb46d96a7157b7c295ce943a,1000000000.0,0.0,379980.9996,216586470.7
11130566,2020-10-26,0x896c2c11947a752162ae47696d3903b286d7301c,3.6700000000000015e-13,3e-18,6e-18,0xa445055fe78fe5c8a0973db673cc7efa5a70e8af,Hitler Coin,HitCoin,3.6700000000000015e-13,18,7,0xcadc34ab83e23f3ae2861fdd5d51fb2185ebce6c,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545292.2038,60734008,5.0,700000.0,1603700741,2020-10-26 17:25,1,5,1,0,2048,4773,3,2,4773,burn,1603700741,2020-10-26 17:25,5.100097759,3e-18,-1.0,1.3258333333333334h,True,1603700741,0.166666667,0.833333333,0.0,1.0,1870.828693,0xcadc34ab83e23f3ae2861fdd5d51fb2185ebce6c,100.0,0.0,2100000.0,0xcadc34ab83e23f3ae2861fdd5d51fb2185ebce6c,2100000.0,0.0,1870.828693,1400000.0
12647552,2021-06-16,0x373c9c4817f76a026d7e36c763d9efc4b392b48d,5.91e-05,1.8e-17,1.8e-17,0x68fc887656f7c646e27ddf61738ac0e9b02764f1,TigerKing,TigerKing,5.91e-05,9,19,0xcad39546974d31e4ea0b156725d494047f362cc0,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.5421,60733885,5.0,152000000000000.0,1627301931,2021-07-26 12:18,1,16,2,0,375934,1726755,10,6,3428267,burn,1627301931,2021-07-26 12:18,0.149573291,1.8e-17,-1.0,952.2963888888889h,True,1627301931,0.055555556,0.8888888890000001,0.055555556,1.428571429,8.716657605,0xcad39546974d31e4ea0b156725d494047f362cc0,100.0,0.0,1000000000000000.0,0xcad39546974d31e4ea0b156725d494047f362cc0,10000000000000.0,0.0,862.9491029,12333300000000.0
12809941,2021-07-12,0xcbdb100512b7d7f4cb5a1f3ae2bbd5ed071a476b,1e-18,1.11e-11,2e-18,0xda9d00b412a5a2013e3759b96e70fe8a9ed74bb6,Eiger King,EKING,1.11e-11,18,30,0xcad31b3c533518f065ee8fe96f026c6e3443cb88,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.34,60733867,20.0,6000000000.0,1626068711,2021-07-12 5:45,1,28,1,0,1967,9692,25,3,9692,burn,1626068711,2021-07-12 5:45,31.22112375,1e-18,-1.0,2.692222222222222h,True,1626068711,0.034482759,0.965517241,0.0,6.25,346410.1615,0xcad31b3c533518f065ee8fe96f026c6e3443cb88,100.0,0.0,10000000000.0,0xcad31b3c533518f065ee8fe96f026c6e3443cb88,1000000000000000.0,0.0,346410.1615,329266933.3
11257995,2020-11-14,0xc74e014a0f2b5befbc56f42d1c741242f6985368,25165.99738,4e-05,4e-05,0x8f4f3bdffe47d91b929148469545d6d4ce84ef19,covault.network,CORIA,25165.99738,18,16,0xcad2fc1ea274bab34071c65564314a416dbd342b,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,5.0,41800.0,1605464540,2020-11-15 18:22,1,14,1,0,6211,78735,11,3,78879,burn,1605464396,2020-11-15 18:19,12.06882793,0.026399272,-0.997812607,21.870833333333334h,True,1605464396,0.071428571,0.928571429,0.0,3.666666667,457.165178,0xcad2fc1ea274bab34071c65564314a416dbd342b,100.0,0.0,50000.0,0xcad2fc1ea274bab34071c65564314a416dbd342b,50000.0,0.0,456.165178,7805.097658
11473774,2020-12-17,0x18d4a3305df2c43d5f891583c0645a41e114562f,100042642.5,0.020095886,0.020095886,0xb5f70cffcaf8157db4d758ef9d79d3367997239e,Dualbase.Finance,DBASE,100042642.5,9,43,0xcacc0ce7c57b1a1391817c37e5a2c48b2e317844,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,40.0,50000.0,1608251077,2020-12-18 0:24,1,42,0,0,940,0,29,13,2119,swap,1608251077,2020-12-18 0:24,46.92260554,0.020095886,-0.999571723,0.5886111111111111h,True,1608251077,0.024390244,0.975609756,0.0,2.153846154,0.04472136,0xcacc0ce7c57b1a1391817c37e5a2c48b2e317844,100.0,0.0,50000.0,0xcacc0ce7c57b1a1391817c37e5a2c48b2e317844,,0,0.0,0
12636433,2021-06-15,0xaa2753d54a042d7ccbdb4e9ce56eb3d61ebfef7f,1.64e-05,6.3e-17,1.26e-16,0x066f378853522573d865c58ac90f014f8b3537fc,Mia Khalifa Inu,MIA🧕🏽🐕,1.64e-05,9,37,0xcacab8334c26d40f42e32839122147866d1c4728,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.5421,60733885,2.5,800000000000.0,1624332461,2021-06-22 3:27,1,35,1,0,9176,607086,17,18,607086,burn,1624332461,2021-06-22 3:27,2.781407013,6.3e-17,-1.0,168.635h,True,1624332461,0.027777778,0.972222222,0.0,0.894736842,44.72135955,0xcacab8334c26d40f42e32839122147866d1c4728,100.0,0.0,1000000000000.0,0xcacab8334c26d40f42e32839122147866d1c4728,1e+18,0.0,44.72135955,0.0
13551215,2021-11-04,0x2c2a857047ce3e0d17170c4d7362faabcd17804f,1000000000000000.0,0.000377616,0.000377616,0xb7b631afcab94874ec9182f22f036300c55c23ae,Bumpees Inu,Bumpees,1000000000000000.0,18,14,0xcac5dd9a20bce323daaf88e9213b68c92037cb23,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545604.3712,60733839,7.5,50000000000.0,1636313603,2021-11-07 19:33,1,13,0,0,50249,0,7,6,271205,swap,1636312682,2021-11-07 19:18,8.345501869,0.037855642,-0.995463947,75.07888888888888h,True,1636312682,0.083333333,0.916666667,0.0,1.4,612372.4357,0xcac5dd9a20bce323daaf88e9213b68c92037cb23,100.0,0.0,100000000000.0,0xcac5dd9a20bce323daaf88e9213b68c92037cb23,,49999999999.99999237060546875,0.0,9900000000000
11155067,2020-10-30,0x446a9fbe1b8899c7f1597d620c9b1c2ad58a5ab1,0.000139591,47626.19611,0.000139591,0xdf4171c061199b095ae9b9d8f58b97c604583cef,cookiemonster.finance,MNST,47626.19611,18,398,0xcac2f4adbb0fc93c2056a15c9b26e48cd94d7116,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545293.6134,60734001,30.0,24000.0,1635617802,2021-10-30 18:16,1,396,1,0,217604,31597874,208,188,31598278,burn,1635617398,2021-10-30 18:09,15.46368446,0.046391053,-0.997,8777.187222222223h,True,1635617398,0.002525253,0.997474747,0.0,1.1063829790000002,848.5281374,0xcac2f4adbb0fc93c2056a15c9b26e48cd94d7116,100.0,0.0,48000.0,0xcac2f4adbb0fc93c2056a15c9b26e48cd94d7116,48000.0,0.0,845.9825529999998,0.0
11154550,2020-10-29,0xb7f238d741d1f56b0fad8b37fa2c0fabc06c592c,6.9200000000000004e-15,1.45e-16,1.45e-16,0x898931d473ae92d5946f1986cf7f795cd13bfaa3,Monster Token,MNST,6.9200000000000004e-15,18,6,0x1943c689f1e13f674e47fab2931411f492e8ebbb,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545293.6134,60734001,0.4,20.0,1604012620,2020-10-30 8:03,1,4,1,0,47,381,2,2,381,burn,1604012620,2020-10-30 8:03,0.409640664,1.45e-16,-1.0,0.10583333333333333h,True,1604012620,0.2,0.8,0.0,0.666666667,2.828427125,0xcac2f4adbb0fc93c2056a15c9b26e48cd94d7116,100.0,0.0,48000.0,0x1943c689f1e13f674e47fab2931411f492e8ebbb,,0,2.82842712,6180
11717194,2021-01-24,0xf4d52424eaecd647564fd201611ca055cf3d3004,8.99e-14,1.2e-17,2.4e-17,0x73d1f050092ec1dbfe263e007f4e5630e50504e3,ideaology.io,IDEA,8.99e-14,18,88,0xcabcc3c5cce29daa49675dfe0219fbf2e1860afd,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.2252,60733960,280.0,11000000.0,1611513053,2021-01-24 18:30,1,86,1,0,11716,36775,60,26,36775,burn,1611513053,2021-01-24 18:30,618.7838592,1.2e-17,-1.0,10.215277777777779h,True,1611513053,0.011494253,0.988505747,0.0,2.222222222,55497.7477,0xcabcc3c5cce29daa49675dfe0219fbf2e1860afd,100.0,0.0,220000000.0,0xcabcc3c5cce29daa49675dfe0219fbf2e1860afd,220000000.0,0.0,55497.7477,187000000.0
